Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
1013,1664,16,1905,1582,1728,674,338,594,428,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1011,1664,0,1968,1587,1757,633,342,594,428,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1030,1666,9,1966,1599,1770,668,336,596,435,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1007,1712,16,2030,1569,1771,614,336,602,432,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1030,1730,16,2143,1626,1799,676,330,592,435,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1015,1747,16,2130,1630,1791,669,328,594,430,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1029,1766,72,2153,1644,1829,672,340,590,432,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1023,1776,16,2103,1643,1840,668,357,593,430,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1054,1778,16,2219,1663,1856,662,336,604,429,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1056,1793,16,2190,1664,1863,665,328,602,432,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1058,1807,16,2202,1680,1873,658,340,573,436,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1044,1801,24,2095,1674,1890,672,354,592,440,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1064,1822,21,2099,1697,1882,672,348,590,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1067,1818,22,2107,1699,1895,672,356,582,445,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1088,1839,36,2096,1712,1917,666,368,585,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1094,1833,32,2119,1724,1937,666,352,586,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1072,1826,26,2158,1730,1955,672,357,578,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1109,1849,32,2133,1744,1927,667,365,584,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1115,1847,32,2127,1743,1969,672,397,580,452,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1109,1855,33,2134,1745,1979,672,352,579,460,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1131,1849,36,2192,1746,1978,674,345,581,449,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1141,1872,36,2223,1781,2009,683,356,578,450,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1137,1862,38,2224,1791,2020,666,353,572,442,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1136,1872,44,2198,1794,2037,673,360,570,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1157,1867,42,2183,1788,2039,662,362,576,427,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1139,1875,48,2241,1809,2055,670,368,584,432,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1148,1902,50,2157,1830,2064,688,360,592,432,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1164,1904,64,2106,1810,2062,684,364,598,428,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1168,1919,64,2223,1828,2091,688,369,584,444,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1173,1936,73,2094,1839,2069,675,361,571,464,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1164,1935,72,2063,1838,2069,688,360,592,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1172,1967,69,2005,1840,2115,677,364,586,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1175,1931,80,2064,1854,2125,688,374,592,448,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1197,1942,80,2000,1841,2161,687,400,594,430,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1200,1968,80,2059,1863,2150,688,369,600,420,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1197,1971,76,2148,1866,2195,706,376,601,445,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1199,1971,80,2133,1872,2174,722,377,602,449,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1219,1987,75,2192,1882,2185,724,378,617,496,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1216,1970,88,2225,1901,2190,742,373,624,458,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1210,1968,85,2195,1904,2249,738,384,624,449,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1207,1978,89,2167,1907,2261,741,379,629,432,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
1216,1984,105,2223,1907,2237,732,372,636,416,proper,"45.75257731958763,50.48453608247423,0.0,224.1958762886598,50.381443298969074,57.16494845360825,577.4123711340206,352.4020618556701,294.9072164948454,462.2886597938144"
